timestep,episode,reward,mean_reward
123904,845,105.0,75.39
123944,846,21.0,74.34
124066,847,0.0,73.5
124210,848,126.0,74.76
124375,849,21.0,74.13
124564,850,105.0,73.5
124820,851,105.0,74.34
125000,852,126.0,75.18
125143,853,84.0,74.76
125316,854,84.0,75.6
125593,855,126.0,75.6
125758,856,105.0,75.81
125955,857,189.0,77.7
126112,858,21.0,77.49
126127,859,0.0,76.44
126298,860,189.0,77.7
126388,861,126.0,78.33
126471,862,63.0,78.12
126660,863,105.0,78.12
126809,864,84.0,78.96
126938,865,105.0,79.17
127095,866,84.0,78.75
127268,867,63.0,78.33
127497,868,147.0,77.91
127641,869,105.0,78.12
127790,870,63.0,78.75
127870,871,0.0,77.91
128048,872,21.0,77.7
128264,873,126.0,78.33
128360,874,63.0,78.33
128418,875,0.0,77.28
128599,876,147.0,77.49
128655,877,63.0,78.12
128684,878,42.0,76.44
128790,879,84.0,76.02
129075,880,63.0,75.39
129253,881,168.0,76.86
129442,882,189.0,77.91
129639,883,42.0,77.49
129671,884,21.0,77.28
129869,885,126.0,77.7
129981,886,63.0,77.91
130164,887,126.0,78.12
130313,888,63.0,78.33
130376,889,21.0,77.7
130469,890,0.0,76.86
130628,891,84.0,77.07
130662,892,0.0,76.65
130827,893,105.0,76.65
131035,894,105.0,76.86
131194,895,105.0,77.07
131471,896,231.0,79.17
131628,897,84.0,80.01
131753,898,0.0,79.38
131918,899,105.0,78.96
132043,900,42.0,78.54
132168,901,21.0,78.75
132341,902,84.0,78.54
132490,903,126.0,79.17
132647,904,63.0,79.59
132780,905,0.0,78.75
132929,906,84.0,78.54
133054,907,84.0,79.17
133120,908,21.0,79.38
133285,909,105.0,79.8
133450,910,63.0,79.59
133542,911,63.0,79.17
133624,912,21.0,78.54
133664,913,21.0,77.49
133693,914,42.0,77.49
133854,915,105.0,77.7
134011,916,147.0,77.91
134168,917,84.0,77.91
134191,918,21.0,77.49
134320,919,42.0,77.49
134501,920,105.0,76.86
134788,921,189.0,78.54
134817,922,21.0,78.33
134967,923,147.0,78.33
134999,924,21.0,77.7
135059,925,42.0,77.91
135088,926,21.0,77.28
135203,927,63.0,77.91
135338,928,105.0,77.49
135483,929,105.0,77.91
135632,930,84.0,77.7
135757,931,0.0,77.07
135922,932,84.0,76.86
136053,933,84.0,76.65
136218,934,105.0,76.44
136359,935,105.0,77.49
136518,936,21.0,76.86
136575,937,63.0,76.65
136636,938,42.0,76.86
136687,939,0.0,75.81
136758,940,84.0,75.81
136847,941,63.0,76.44
136876,942,21.0,75.81
136991,943,84.0,75.6
137132,944,42.0,75.39
137294,945,105.0,75.39
137350,946,42.0,75.6
137472,947,42.0,76.02
137653,948,126.0,76.02
137810,949,147.0,77.28
137860,950,21.0,76.44
137900,951,0.0,75.39
138054,952,105.0,75.18
138116,953,63.0,74.97
138262,954,84.0,74.97
138427,955,105.0,74.76
138587,956,42.0,74.13
138752,957,147.0,73.71
138959,958,126.0,74.76
138994,959,21.0,74.97
139049,960,42.0,73.5
139210,961,189.0,74.13
139298,962,0.0,73.5
139404,963,0.0,72.45
139633,964,84.0,72.45
139781,965,105.0,72.45
139930,966,84.0,72.45
140150,967,126.0,73.08
140277,968,105.0,72.66
140344,969,0.0,71.61
140399,970,0.0,70.98
140457,971,42.0,71.4
140588,972,105.0,72.24
140737,973,42.0,71.4
140950,974,210.0,72.87
141148,975,105.0,73.92
141297,976,84.0,73.29
141438,977,0.0,72.66
141579,978,84.0,73.08
141722,979,84.0,73.08
141903,980,63.0,73.08
142044,981,21.0,71.61
142076,982,21.0,69.93
142257,983,147.0,70.98
142353,984,42.0,71.19
142414,985,0.0,69.93
142560,986,21.0,69.51
142703,987,105.0,69.3
142743,988,42.0,69.09
142865,989,105.0,69.93
142896,990,0.0,69.93
142954,991,21.0,69.3
143047,992,84.0,70.14
143108,993,21.0,69.3
143158,994,42.0,68.67
143292,995,147.0,69.09
143433,996,105.0,67.83
143614,997,147.0,68.46
143771,998,42.0,68.88
143904,999,63.0,68.46
144069,1000,105.0,69.09
144226,1001,63.0,69.51
144297,1002,63.0,69.3
144425,1003,84.0,68.88
144512,1004,21.0,68.46
144541,1005,0.0,68.46
144648,1006,105.0,68.67
144775,1007,147.0,69.3
144900,1008,42.0,69.51
145090,1009,63.0,69.09
145173,1010,84.0,69.3
145276,1011,63.0,69.3
145383,1012,21.0,69.3
145526,1013,126.0,70.35
145629,1014,63.0,70.56
145688,1015,0.0,69.51
145933,1016,105.0,69.09
146092,1017,105.0,69.3
146212,1018,63.0,69.72
146241,1019,0.0,69.3
146283,1020,21.0,68.46
146344,1021,0.0,66.57
146373,1022,0.0,66.36
146520,1023,63.0,65.52
146701,1024,168.0,66.99
146848,1025,84.0,67.41
147021,1026,105.0,68.25
147140,1027,42.0,68.04
147170,1028,42.0,67.41
147228,1029,42.0,66.78
147342,1030,42.0,66.36
147414,1031,0.0,66.36
147504,1032,84.0,66.36
147631,1033,42.0,65.94
147697,1034,63.0,65.52
147830,1035,63.0,65.1
147971,1036,21.0,65.1
148132,1037,189.0,66.36
148273,1038,42.0,66.36
148430,1039,84.0,67.2
