timestep,episode,reward,length,mean_reward,mean_length
58858,362,6.0,213,3.73,146.61
59007,363,5.0,149,3.74,145.81
59172,364,4.0,165,3.74,145.97
59399,365,2.0,227,3.7,144.43
59540,366,4.0,141,3.71,144.62
59737,367,4.0,197,3.74,144.78
59832,368,4.0,95,3.72,143.52
59924,369,4.0,92,3.69,141.32
60086,370,5.0,162,3.72,142.35
60283,371,4.0,197,3.74,142.83
60456,372,6.0,173,3.77,142.75
60580,373,3.0,124,3.77,143.09
60609,374,0.0,29,3.76,142.55
60708,375,4.0,99,3.76,140.45
60889,376,7.0,181,3.78,140.45
61012,377,5.0,123,3.78,140.23
61183,378,6.0,171,3.81,140.45
61348,379,6.0,165,3.86,140.61
61561,380,5.0,213,3.9,141.25
61685,381,4.0,124,3.92,141.61
61752,382,0.0,67,3.91,141.35
61925,383,5.0,173,3.96,142.66
62074,384,1.0,149,3.92,142.82
62133,385,3.0,59,3.85,140.55
62232,386,4.0,99,3.85,139.81
62389,387,4.0,157,3.85,139.73
62538,388,2.0,149,3.85,139.73
62627,389,2.0,89,3.85,139.33
62694,390,3.0,67,3.83,138.35
62875,391,5.0,181,3.87,140.01
63016,392,6.0,141,3.89,139.21
63160,393,5.0,144,3.92,140.09
63469,394,8.0,309,3.93,141.47
63650,395,6.0,181,3.99,142.81
63775,396,0.0,125,3.98,141.95
63925,397,5.0,150,3.96,141.95
64066,398,4.0,141,3.97,141.71
64241,399,3.0,175,3.97,142.13
64292,400,2.0,51,3.92,141.23
64467,401,7.0,175,3.94,141.37
64664,402,4.0,197,3.93,141.77
64797,403,8.0,133,3.92,140.49
64994,404,7.0,197,3.98,140.89
65127,405,5.0,133,4.03,141.61
65260,406,2.0,133,4.0,141.8
65577,407,4.0,317,4.01,143.64
65702,408,4.0,125,4.04,143.56
65847,409,2.0,145,4.0,143.41
65983,410,4.0,136,4.0,143.2
66209,411,8.0,226,4.02,143.81
66232,412,1.0,23,3.99,142.55
66324,413,2.0,92,3.96,142.01
66353,414,1.0,29,3.9,140.33
66382,415,1.0,29,3.87,139.29
66529,416,4.0,147,3.89,140.53
66679,417,5.0,150,3.92,140.72
66774,418,4.0,95,3.93,140.8
66881,419,2.0,107,3.94,140.96
67014,420,3.0,133,3.92,140.8
67222,421,7.0,208,3.91,141.45
67443,422,4.0,221,3.91,141.35
67608,423,3.0,165,3.9,141.93
67741,424,5.0,133,3.91,141.34
67900,425,5.0,159,3.93,141.43
68025,426,4.0,125,3.93,141.35
68208,427,2.0,183,3.89,141.37
68267,428,1.0,59,3.85,139.67
68417,429,4.0,150,3.85,139.35
68606,430,3.0,189,3.86,139.75
68755,431,3.0,149,3.85,139.67
68891,432,8.0,136,3.87,139.7
69019,433,5.0,128,3.87,139.37
69152,434,3.0,133,3.89,140.14
69365,435,6.0,213,3.92,140.73
69578,436,10.0,213,4.0,141.45
69755,437,9.0,177,4.07,141.91
70048,438,2.0,293,4.05,143.96
70189,439,5.0,141,4.06,144.39
70346,440,3.0,157,4.05,144.55
70407,441,2.0,61,4.04,144.54
70554,442,6.0,147,4.06,144.87
70695,443,3.0,141,4.05,144.47
70844,444,7.0,149,4.1,144.71
71000,445,7.0,156,4.11,144.45
71066,446,1.0,66,4.1,143.3
71215,447,4.0,149,4.13,143.75
71278,448,1.0,63,4.14,143.64
71726,449,17.0,448,4.27,146.69
71899,450,4.0,173,4.27,147.01
72080,451,7.0,181,4.27,147.17
72097,452,0.0,17,4.21,145.53
72157,453,1.0,60,4.14,143.86
72272,454,6.0,115,4.16,143.28
72421,455,5.0,149,4.17,144.06
72554,456,4.0,133,4.18,144.56
72714,457,6.0,160,4.21,144.86
72770,458,0.0,56,4.18,144.54
72916,459,6.0,146,4.23,145.71
73137,460,6.0,221,4.27,147.02
73301,461,4.0,164,4.23,146.56
73389,462,1.0,88,4.18,145.31
73519,463,2.0,130,4.15,145.12
73660,464,2.0,141,4.13,144.88
73748,465,5.0,88,4.16,143.49
73935,466,4.0,187,4.16,143.95
74030,467,0.0,95,4.12,142.93
74209,468,4.0,179,4.12,143.77
74371,469,4.0,162,4.12,144.47
74520,470,6.0,149,4.13,144.34
74741,471,7.0,221,4.16,144.58
74773,472,0.0,32,4.1,143.17
74905,473,3.0,132,4.1,143.25
74929,474,1.0,24,4.11,143.2
75091,475,5.0,162,4.12,143.83
75232,476,1.0,141,4.06,143.43
75391,477,7.0,159,4.08,143.79
75548,478,4.0,157,4.06,143.65
75737,479,7.0,189,4.07,143.89
75954,480,8.0,217,4.1,143.93
76133,481,9.0,179,4.15,144.48
76290,482,4.0,157,4.19,145.38
76439,483,8.0,149,4.22,145.14
76620,484,5.0,181,4.26,145.46
76750,485,4.0,130,4.27,146.17
77019,486,5.0,269,4.28,147.87
77122,487,2.0,103,4.26,147.33
77229,488,3.0,107,4.27,146.91
77359,489,5.0,130,4.3,147.32
77548,490,8.0,189,4.35,148.54
77673,491,3.0,125,4.33,147.98
77822,492,5.0,149,4.32,148.06
78020,493,8.0,198,4.35,148.6
78163,494,7.0,143,4.34,146.94
78192,495,0.0,29,4.28,145.42
78221,496,1.0,29,4.29,144.46
78415,497,6.0,194,4.3,144.9
78588,498,6.0,173,4.32,145.22
78756,499,7.0,168,4.36,145.15
78806,500,1.0,50,4.35,145.14
78963,501,5.0,157,4.33,144.96
78997,502,1.0,34,4.3,143.33
79148,503,5.0,151,4.27,143.51
79231,504,4.0,83,4.24,142.37
79353,505,6.0,122,4.25,142.26
79484,506,3.0,131,4.26,142.24
79737,507,7.0,253,4.29,141.6
79958,508,7.0,221,4.32,142.56
